Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt
1,Demaryius Thomas\ThomDe03,WR,26.284,2014-10-05,NFL,DEN,,ARI,W 41-20,4,5,Sun,16,8,226,28.25,2,50.0%,14.13
2,DeSean Jackson\JackDe00,WR,27.309,2014-10-06,NFL,WAS,,SEA,L 17-27,5,5,Mon,11,5,157,31.40,1,45.5%,14.27
3,Vincent Jackson\JackVi00,WR,31.264,2014-10-05,NFL,TAM,@,NOR,L 31-37,5,5,Sun,12,8,144,18.00,0,66.7%,12.00
4,Golden Tate\TateGo00,WR,26.064,2014-10-05,NFL,DET,,BUF,L 14-17,5,5,Sun,9,7,134,19.14,1,77.8%,14.89
5,Andre Ellington\ElliAn00,RB,25.244,2014-10-05,NFL,ARI,@,DEN,L 20-41,4,5,Sun,7,4,112,28.00,1,57.1%,16.00
6,Matt Forte\FortMa00,RB,28.299,2014-10-05,NFL,CHI,@,CAR,L 24-31,5,5,Sun,12,12,105,8.75,1,100.0%,8.75
7,Julio Jones\JoneJu02,WR,25.244,2014-10-05,NFL,ATL,@,NYG,L 20-30,5,5,Sun,16,11,105,9.55,0,68.8%,6.56
8,Emmanuel Sanders\SandEm00,WR,27.202,2014-10-05,NFL,DEN,,ARI,W 41-20,4,5,Sun,9,7,101,14.43,0,77.8%,11.22
9,Rob Gronkowski\GronRo00,TE,25.144,2014-10-05,NFL,NWE,,CIN,W 43-17,5,5,Sun,11,6,100,16.67,1,54.5%,9.09
10,Justin Hunter\HuntJu00,WR,23.138,2014-10-05,NFL,TEN,,CLE,L 28-29,5,5,Sun,5,3,99,33.00,1,60.0%,19.80
11,Alshon Jeffery\JeffAl00,WR,24.233,2014-10-05,NFL,CHI,@,CAR,L 24-31,5,5,Sun,7,6,97,16.17,1,85.7%,13.86
12,Taylor Gabriel\GabrTa00,WR,23.230,2014-10-05,NFL,CLE,@,TEN,W 29-28,4,5,Sun,6,4,95,23.75,0,66.7%,15.83
13,T.Y. Hilton\HiltT.00,WR,24.325,2014-10-05,NFL,IND,,BAL,W 20-13,5,5,Sun,12,9,90,10.00,0,75.0%,7.50
14,Brian Quick\QuicBr00,WR,25.122,2014-10-05,NFL,STL,@,PHI,L 28-34,4,5,Sun,9,5,87,17.40,2,55.6%,9.67
15,Sammy Watkins\WatkSa00,WR,21.113,2014-10-05,NFL,BUF,@,DET,W 17-14,5,5,Sun,12,7,87,12.43,0,58.3%,7.25
16,Dez Bryant\BryaDe01,WR,25.335,2014-10-05,NFL,DAL,,HOU,W 20-17,5,5,Sun,14,9,85,9.44,1,64.3%,6.07
17,Tim Wright\WrigTi01,TE,24.181,2014-10-05,NFL,NWE,,CIN,W 43-17,5,5,Sun,5,5,85,17.00,1,100.0%,17.00
18,Antonio Brown\BrowAn04,WR,26.087,2014-10-05,NFL,PIT,@,JAX,W 17-9,5,5,Sun,12,5,84,16.80,0,41.7%,7.00
19,Antone Smith\SmitAn01,RB,29.018,2014-10-05,NFL,ATL,@,NYG,L 20-30,5,5,Sun,3,3,83,27.67,1,100.0%,27.67
20,A.J. Green\GreeA.00,WR,26.066,2014-10-05,NFL,CIN,@,NWE,L 17-43,4,5,Sun,8,5,81,16.20,1,62.5%,10.13
21,Pierre Thomas\ThomPi00,RB,29.291,2014-10-05,NFL,NOR,,TAM,W 37-31,5,5,Sun,10,8,77,9.63,1,80.0%,7.70
22,Reggie Wayne\WaynRe00,WR,35.322,2014-10-05,NFL,IND,,BAL,W 20-13,5,5,Sun,12,7,77,11.00,0,58.3%,6.42
23,Brandon Lloyd\LloyBr00,WR,33.092,2014-10-05,NFL,SFO,,KAN,W 22-17,5,5,Sun,5,3,76,25.33,0,60.0%,15.20
24,Jeremy Maclin\MaclJe00,WR,26.147,2014-10-05,NFL,PHI,,STL,W 34-28,5,5,Sun,11,5,76,15.20,1,45.5%,6.91
25,Anquan Boldin\BoldAn00,WR,34.002,2014-10-05,NFL,SFO,,KAN,W 22-17,5,5,Sun,8,4,72,18.00,0,50.0%,9.00
26,Malcom Floyd\FloyMa00,WR,33.027,2014-10-05,NFL,SDG,,NYJ,W 31-0,5,5,Sun,3,3,72,24.00,0,100.0%,24.00
27,Greg Olsen\OlseGr00,TE,29.208,2014-10-05,NFL,CAR,,CHI,W 31-24,5,5,Sun,9,6,72,12.00,2,66.7%,8.00
28,Terrance Williams\WillTe01,WR,25.027,2014-10-05,NFL,DAL,,HOU,W 20-17,5,5,Sun,6,2,71,35.50,1,33.3%,11.83
29,Owen Daniels\DaniOw00,TE,31.330,2014-10-05,NFL,BAL,@,IND,L 13-20,5,5,Sun,7,5,70,14.00,0,71.4%,10.00
30,Mohamed Sanu\SanuMo00,WR,25.044,2014-10-05,NFL,CIN,@,NWE,L 17-43,4,5,Sun,9,5,70,14.00,1,55.6%,7.78
31,Kenny Britt\BritKe00,WR,26.016,2014-10-05,NFL,STL,@,PHI,L 28-34,4,5,Sun,6,3,68,22.67,1,50.0%,11.33
32,Jeremy Hill\HillJe01,HB,21.350,2014-10-05,NFL,CIN,@,NWE,L 17-43,4,5,Sun,4,3,68,22.67,0,75.0%,17.00
33,Branden Oliver\OlivBr01,RB,23.151,2014-10-05,NFL,SDG,,NYJ,W 31-0,5,5,Sun,4,4,68,17.00,1,100.0%,17.00
34,Jordy Nelson\NelsJo00,WR,29.124,2014-10-02,NFL,GNB,,MIN,W 42-10,5,5,Thu,3,1,66,66.00,1,33.3%,22.00
35,Julius Thomas\ThomJu00,TE,26.100,2014-10-05,NFL,DEN,,ARI,W 41-20,4,5,Sun,7,6,66,11.00,2,85.7%,9.43
