1,Brandin Cooks\CookBr00,WR,23.084,NOR,@,ARI,8,7,186,26.57,2,87.5%,23.25,15,2016
2,Tyler Lockett\LockTy00,WR,24.078,SEA,,LAR,8,7,130,18.57,1,87.5%,16.25,15,2016
3,Jordy Nelson\NelsJo00,WR,31.201,GNB,@,CHI,10,7,124,17.71,0,70.0%,12.40,15,2016
4,Golden Tate\TateGo00,WR,28.138,DET,@,NYG,13,8,122,15.25,0,61.5%,9.38,15,2016
5,DeSean Jackson\JackDe00,WR,30.018,WAS,,CAR,10,7,111,15.86,0,70.0%,11.10,15,2016
6,Aldrick Robinson\RobiAl00,WR,28.085,ATL,,SFO,5,4,111,27.75,0,80.0%,22.20,15,2016
7,Deonte Thompson\ThomDe04,WR,27.308,CHI,,GNB,10,8,110,13.75,0,80.0%,11.00,15,2016
8,Jarvis Landry\LandJa00,WR,24.019,MIA,@,NYJ,4,3,108,36.00,1,75.0%,27.00,15,2016
9,Rishard Matthews\MattRi00,WR,27.067,TEN,@,KAN,10,4,105,26.25,0,40.0%,10.50,15,2016
10,Cameron Meredith\MereCa00,WR,24.088,CHI,,GNB,13,9,104,11.56,0,69.2%,8.00,15,2016
11,Kyle Rudolph\RudoKy00,TE,27.039,MIN,,IND,10,8,97,12.13,0,80.0%,9.70,15,2016
12,Brandon LaFell\LaFeBr00,WR,30.044,CIN,,PIT,9,7,91,13.00,0,77.8%,10.11,15,2016
13,Demaryius Thomas\ThomDe03,WR,28.359,DEN,,NWE,11,7,91,13.00,0,63.6%,8.27,15,2016
14,Alshon Jeffery\JeffAl00,WR,26.308,CHI,,GNB,9,6,89,14.83,1,66.7%,9.89,15,2016
15,DeAndre Hopkins\HopkDe00,WR,24.195,HOU,,JAX,17,8,87,10.88,0,47.1%,5.12,15,2016
16,Jared Cook\CookJa02,TE,29.255,GNB,@,CHI,8,6,85,14.17,0,75.0%,10.63,15,2016
17,Ryan Griffin\GrifRy00,TE,26.342,HOU,,JAX,8,8,85,10.63,0,100.0%,10.63,15,2016
18,Greg Olsen\OlseGr00,TE,31.283,CAR,@,WAS,9,6,85,14.17,0,66.7%,9.44,15,2016
19,Dez Bryant\BryaDe01,WR,28.044,DAL,,TAM,10,8,82,10.25,0,80.0%,8.20,15,2016
20,Jeremy Maclin\MaclJe00,WR,28.221,KAN,,TEN,8,6,82,13.67,0,75.0%,10.25,15,2016
21,John Brown\BrowJo02,WR,26.259,ARI,,NOR,6,5,81,16.20,1,83.3%,13.50,15,2016
22,Robby Anderson\AndeRo04,WR,23.222,NYJ,,MIA,6,4,80,20.00,1,66.7%,13.33,15,2016
23,Zach Ertz\ErtzZa00,TE,26.038,PHI,@,BAL,8,6,80,13.33,0,75.0%,10.00,15,2016
24,Pierre Garcon\GarcPi00,WR,30.133,WAS,,CAR,11,7,78,11.14,0,63.6%,7.09,15,2016
25,Bilal Powell\PoweBi00,RB,28.051,NYJ,,MIA,12,11,78,7.09,0,91.7%,6.50,15,2016
26,Willie Snead\SneaWi00,WR,24.062,NOR,@,ARI,11,8,76,9.50,0,72.7%,6.91,15,2016
27,Julian Edelman\EdelJu00,WR,30.210,NWE,@,DEN,12,6,75,12.50,0,50.0%,6.25,15,2016
28,Eli Rogers\RogeEl00,WR,23.361,PIT,@,CIN,6,5,75,15.00,1,83.3%,12.50,15,2016
29,Cameron Brate\BratCa00,TE,25.168,TAM,@,DAL,8,5,73,14.60,1,62.5%,9.13,15,2016
30,Charles Clay\ClayCh00,TE,27.309,BUF,,CLE,7,7,72,10.29,1,100.0%,10.29,15,2016
31,Ladarius Green\GreeLa00,TE,26.203,PIT,@,CIN,8,5,72,14.40,0,62.5%,9.00,15,2016
32,Dontrelle Inman\InmaDo00,WR,27.322,SDG,,OAK,8,5,68,13.60,0,62.5%,8.50,15,2016
33,Odell Beckham\BeckOd00,WR,24.043,NYG,,DET,8,6,64,10.67,1,75.0%,8.00,15,2016
34,Quincy Enunwa\EnunQu00,WR,24.200,NYJ,,MIA,9,5,64,12.80,0,55.6%,7.11,15,2016
35,Ted Ginn\GinnTe00,WR,31.251,CAR,@,WAS,8,4,64,16.00,1,50.0%,8.00,15,2016
36,Duke Johnson\JohnDu00,RB,23.086,CLE,@,BUF,7,5,62,12.40,0,71.4%,8.86,15,2016
37,Michael Crabtree\CrabMi00,WR,29.095,OAK,@,SDG,8,6,60,10.00,1,75.0%,7.50,15,2016
38,Taylor Gabriel\GabrTa00,WR,25.305,ATL,,SFO,6,3,60,20.00,1,50.0%,10.00,15,2016
39,Mike Wallace\WallMi00,WR,30.139,BAL,,PHI,5,2,60,30.00,0,40.0%,12.00,15,2016
40,Mike Evans\EvanMi00,WR,23.119,TAM,@,DAL,8,4,59,14.75,0,50.0%,7.38,15,2016
41,Jerick McKinnon\McKiJe00,RB,24.229,MIN,,IND,9,9,59,6.56,0,100.0%,6.56,15,2016
42,Antonio Brown\BrowAn04,WR,28.161,PIT,@,CIN,5,3,58,19.33,0,60.0%,11.60,15,2016
43,Larry Fitzgerald\FitzLa00,WR,33.109,ARI,,NOR,9,7,57,8.14,0,77.8%,6.33,15,2016
44,Travis Benjamin\BenjTr00,WR,26.355,SDG,,OAK,3,2,56,28.00,1,66.7%,18.67,15,2016
45,Sterling Shepard\ShepSt00,WR,23.312,NYG,,DET,5,4,56,14.00,1,80.0%,11.20,15,2016
46,David Johnson\JohnDa08,RB,25.002,ARI,,NOR,5,4,55,13.75,0,80.0%,11.00,15,2016
47,Delanie Walker\WalkHu00,TE,32.128,TEN,@,KAN,7,6,55,9.17,0,85.7%,7.86,15,2016
48,DeMarco Murray\MurrDe00,RB,28.310,TEN,@,KAN,6,5,52,10.40,0,83.3%,8.67,15,2016
49,Kenny Stills\StilKe00,WR,24.239,MIA,@,NYJ,3,1,52,52.00,1,33.3%,17.33,15,2016
50,Michael Thomas\ThomMi05,WR,23.290,NOR,@,ARI,10,7,52,7.43,1,70.0%,5.20,15,2016
51,Zach Zenner\ZennZa00,RB,25.096,DET,@,NYG,5,4,52,13.00,0,80.0%,10.40,15,2016
52,Jason Witten\WittJa00,TE,34.226,DAL,,TAM,10,10,51,5.10,0,100.0%,5.10,15,2016
53,Kenny Britt\BritKe00,WR,28.087,LAR,@,SEA,8,4,50,12.50,0,50.0%,6.25,15,2016
54,Phillip Dorsett\DorsPh00,WR,23.348,IND,@,MIN,1,1,50,50.00,1,100.0%,50.00,15,2016
55,Charles Johnson\JohnCh08,WR,27.295,MIN,,IND,5,5,50,10.00,0,100.0%,10.00,15,2016
56,Erik Swoope\SwooEr00,TE,24.224,IND,@,MIN,3,3,50,16.67,1,100.0%,16.67,15,2016
57,Adam Humphries\HumpAd00,WR,23.177,TAM,@,DAL,5,2,49,24.50,1,40.0%,9.80,15,2016
58,Cordarrelle Patterson\PattCo00,WR,25.276,MIN,,IND,8,5,49,9.80,0,62.5%,6.13,15,2016
59,Cole Beasley\BeasCo00,WR,27.236,DAL,,TAM,5,4,48,12.00,0,80.0%,9.60,15,2016
60,Emmanuel Sanders\SandEm00,WR,29.276,DEN,,NWE,6,3,48,16.00,0,50.0%,8.00,15,2016
61,Robert Kelley\KellRo00,RB,24.077,WAS,,CAR,4,4,47,11.75,0,100.0%,11.75,15,2016
62,Brian Quick\QuicBr00,WR,27.193,LAR,@,SEA,5,3,46,15.33,0,60.0%,9.20,15,2016
63,Blake Bell\BellBl00,TE,25.133,SFO,@,ATL,1,1,45,45.00,0,100.0%,45.00,15,2016
64,T.Y. Hilton\HiltT.00,WR,27.034,IND,@,MIN,7,3,45,15.00,0,42.9%,6.43,15,2016
65,Terrance West\WestTe00,RB,25.325,BAL,,PHI,4,4,45,11.25,0,100.0%,11.25,15,2016
66,Mohamed Sanu\SanuMo00,WR,27.118,ATL,,SFO,3,3,44,14.67,0,100.0%,14.67,15,2016
67,Marquise Goodwin\GoodMa00,WR,26.029,BUF,,CLE,4,3,43,14.33,0,75.0%,10.75,15,2016
68,Corey Brown\BrowPh00,WR,25.003,CAR,@,WAS,4,3,42,14.00,0,75.0%,10.50,15,2016
69,Will Fuller\FullWi01,WR,22.246,HOU,,JAX,8,4,42,10.50,0,50.0%,5.25,15,2016
