Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt
1,DeAndre Hopkins\HopkDe00,WR,26.192,2018-12-15,NFL,HOU,@,NYJ,W 29-22,14,15,Sat,11,10,170,17.00,2,90.9%,15.45
2,Alshon Jeffery\JeffAl00,WR,28.305,2018-12-16,NFL,PHI,@,LAR,W 30-23,14,15,Sun,8,8,160,20.00,0,100.0%,20.00
3,Kenny Golladay\GollKe00,WR,25.043,2018-12-16,NFL,DET,@,BUF,L 13-14,14,15,Sun,8,7,146,20.86,0,87.5%,18.25
4,Mike Evans\EvanMi00,WR,25.117,2018-12-16,NFL,TAM,@,BAL,L 12-20,14,15,Sun,9,4,121,30.25,0,44.4%,13.44
5,Davante Adams\AdamDa01,WR,25.357,2018-12-16,NFL,GNB,@,CHI,L 17-24,14,15,Sun,13,8,119,14.88,0,61.5%,9.15
6,Robert Foster\FostRo01,WR,24.223,2018-12-16,NFL,BUF,,DET,W 14-13,14,15,Sun,5,4,108,27.00,1,80.0%,21.60
7,Robby Anderson\AndeRo04,WR,25.220,2018-12-15,NFL,NYJ,,HOU,L 22-29,14,15,Sat,11,7,96,13.71,1,63.6%,8.73
8,Julian Edelman\EdelJu00,WR,32.208,2018-12-16,NFL,NWE,@,PIT,L 10-17,14,15,Sun,11,7,90,12.86,0,63.6%,8.18
9,Jordy Nelson\NelsJo00,WR,33.199,2018-12-16,NFL,OAK,@,CIN,L 16-30,14,15,Sun,8,6,88,14.67,0,75.0%,11.00
10,T.Y. Hilton\HiltT.00,WR,29.032,2018-12-16,NFL,IND,,DAL,W 23-0,14,15,Sun,8,5,85,17.00,0,62.5%,10.63
11,Dante Pettis\PettDa00,WR,23.054,2018-12-16,NFL,SFO,,SEA,W 26-23,14,15,Sun,5,5,83,16.60,0,100.0%,16.60
12,Larry Fitzgerald\FitzLa00,WR,35.107,2018-12-16,NFL,ARI,@,ATL,L 14-40,14,15,Sun,8,7,82,11.71,0,87.5%,10.25
13,Julio Jones\JoneJu02,WR,29.316,2018-12-16,NFL,ATL,,ARI,W 40-14,14,15,Sun,8,6,82,13.67,1,75.0%,10.25
14,Doug Baldwin\BaldDo00,WR,30.086,2018-12-16,NFL,SEA,@,SFO,L 23-26,14,15,Sun,6,4,77,19.25,2,66.7%,12.83
15,Todd Gurley\GurlTo01,HB,24.135,2018-12-16,NFL,LAR,,PHI,L 23-30,14,15,Sun,13,10,76,7.60,0,76.9%,5.85
16,Mike Williams\WillMi07,WR,24.070,2018-12-13,NFL,LAC,@,KAN,W 29-28,14,15,Thu,9,7,76,10.86,2,77.8%,8.44
17,Evan Engram\EngrEv00,TE,24.105,2018-12-16,NFL,NYG,,TEN,L 0-17,14,15,Sun,12,8,75,9.38,0,66.7%,6.25
18,Damien Williams\WillDa05,RB,26.254,2018-12-13,NFL,KAN,,LAC,L 28-29,14,15,Thu,6,6,74,12.33,0,100.0%,12.33
