Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Att,Yds,Y/A,TD
1,James Conner\ConnJa00,RB,23.127,2018-09-09,NFL,PIT,@,CLE,T 21-21,1,1,Sun,31,135,4.35,2
2,Todd Gurley\GurlTo01,RB,24.038,2018-09-10,NFL,LAR,@,OAK,W 33-13,1,1,Mon,20,108,5.40,0
3,Saquon Barkley\BarkSa00,RB,21.212,2018-09-09,NFL,NYG,,JAX,L 15-20,1,1,Sun,18,106,5.89,1
4,Isaiah Crowell\CrowIs00,RB,25.245,2018-09-10,NFL,NYJ,@,DET,W 48-17,1,1,Mon,10,102,10.20,2
5,Lamar Miller\MillLa01,RB,27.137,2018-09-09,NFL,HOU,@,NWE,L 20-27,1,1,Sun,20,98,4.90,0
6,Adrian Peterson\PeteAd01,RB,33.172,2018-09-09,NFL,WAS,@,ARI,W 24-6,1,1,Sun,26,96,3.69,1
7,Joe Mixon\MixoJo00,HB,22.047,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,17,95,5.59,1
8,Jordan Howard\HowaJo00,RB,23.311,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,15,82,5.47,0
9,Tyrod Taylor\TaylTy00,QB,29.037,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,8,77,9.63,1
10,Dion Lewis\LewiDi00,RB,27.347,2018-09-09,NFL,TEN,@,MIA,L 20-27,1,1,Sun,16,75,4.69,1
11,Royce Freeman\FreeRo00,RB,22.197,2018-09-09,NFL,DEN,,SEA,W 27-24,1,1,Sun,15,71,4.73,0
12,Phillip Lindsay\LindPh00,RB,24.047,2018-09-09,NFL,DEN,,SEA,W 27-24,1,1,Sun,15,71,4.73,0
13,Peyton Barber\BarbPe01,RB,24.194,2018-09-09,NFL,TAM,@,NOR,W 48-40,1,1,Sun,19,69,3.63,0
14,Ezekiel Elliott\ElliEz00,RB,23.049,2018-09-09,NFL,DAL,@,CAR,L 8-16,1,1,Sun,15,69,4.60,1
15,Chris Thompson\ThomCh03,RB,27.324,2018-09-09,NFL,WAS,@,ARI,W 24-6,1,1,Sun,5,65,13.00,0
16,Rex Burkhead\BurkRe00,RB,28.069,2018-09-09,NFL,NWE,,HOU,W 27-20,1,1,Sun,18,64,3.56,0
17,Melvin Gordon\GordMe00,RB,25.149,2018-09-09,NFL,LAC,,KAN,L 28-38,1,1,Sun,15,64,4.27,0
18,Jay Ajayi\AjayJa00,RB,25.083,2018-09-06,NFL,PHI,,ATL,W 18-12,1,1,Thu,15,62,4.13,2
19,Carlos Hyde\HydeCa00,RB,27.354,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,22,62,2.82,1
20,Frank Gore\GoreFr00,RB,35.118,2018-09-09,NFL,MIA,,TEN,W 27-20,1,1,Sun,9,61,6.78,0
21,Bilal Powell\PoweBi00,RB,29.318,2018-09-10,NFL,NYJ,@,DET,W 48-17,1,1,Mon,12,60,5.00,0
22,Cam Newton\NewtCa00,QB,29.121,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,13,58,4.46,1
23,Chris Carson\CarsCh00,RB,23.358,2018-09-09,NFL,SEA,@,DEN,L 24-27,1,1,Sun,7,51,7.29,0
24,T.J. Yeldon\YeldT.00,RB,24.342,2018-09-09,NFL,JAX,@,NYG,W 20-15,1,1,Sun,14,51,3.64,0
25,Christian McCaffrey\McCaCh01,RB,22.094,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,10,50,5.00,0
26,Kareem Hunt\HuntKa00,RB,23.034,2018-09-09,NFL,KAN,@,LAC,W 38-28,1,1,Sun,16,49,3.06,0
27,Kenyan Drake\DrakKe00,RB,24.226,2018-09-09,NFL,MIA,,TEN,W 27-20,1,1,Sun,14,48,3.43,0
28,Jamaal Williams\WillJa06,RB,23.159,2018-09-09,NFL,GNB,,CHI,W 24-23,1,1,Sun,15,47,3.13,0
29,Matt Breida\BreiMa00,RB,23.193,2018-09-09,NFL,SFO,@,MIN,L 16-24,1,1,Sun,11,46,4.18,0
30,Kenneth Dixon\DixoKe00,RB,24.231,2018-09-09,NFL,BAL,,BUF,W 47-3,1,1,Sun,13,44,3.38,1
31,Blake Bortles\BortBl00,QB,26.134,2018-09-09,NFL,JAX,@,NYG,W 20-15,1,1,Sun,4,42,10.50,0
32,Latavius Murray\MurrLa00,RB,28.234,2018-09-09,NFL,MIN,,SFO,W 24-16,1,1,Sun,11,42,3.82,0
33,Leonard Fournette\FourLe00,RB,23.234,2018-09-09,NFL,JAX,@,NYG,W 20-15,1,1,Sun,9,41,4.56,0
34,Marshawn Lynch\LyncMa00,RB,32.141,2018-09-10,NFL,OAK,,LAR,L 13-33,1,1,Mon,11,41,3.73,1
35,Dalvin Cook\CookDa01,HB,23.030,2018-09-09,NFL,MIN,,SFO,W 24-16,1,1,Sun,16,40,2.50,0
36,Deshaun Watson\WatsDe00,QB,22.360,2018-09-09,NFL,HOU,@,NWE,L 20-27,1,1,Sun,8,40,5.00,0
37,Jordan Wilkins\WilkJo01,RB,24.053,2018-09-09,NFL,IND,,CIN,L 23-34,1,1,Sun,14,40,2.86,0
38,Austin Ekeler\EkelAu00,RB,23.115,2018-09-09,NFL,LAC,,KAN,L 28-38,1,1,Sun,5,39,7.80,0
39,Lamar Jackson\JackLa00,QB,21.245,2018-09-09,NFL,BAL,,BUF,W 47-3,1,1,Sun,7,39,5.57,0
40,Alfred Morris\MorrAl00,RB,29.271,2018-09-09,NFL,SFO,@,MIN,L 16-24,1,1,Sun,12,38,3.17,0
41,David Johnson\JohnDa08,RB,26.267,2018-09-09,NFL,ARI,,WAS,L 6-24,1,1,Sun,9,37,4.11,1
42,Alfred Blue\BlueAl00,RB,27.135,2018-09-09,NFL,HOU,@,NWE,L 20-27,1,1,Sun,5,36,7.20,1
43,Ryan Fitzpatrick\FitzRy00,QB,35.289,2018-09-09,NFL,TAM,@,NOR,W 48-40,1,1,Sun,12,36,3.00,1
44,Devonta Freeman\FreeDe00,RB,26.175,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,6,36,6.00,0
45,C.J. Anderson\AndeC.00,RB,27.211,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,7,35,5.00,0
46,Mitchell Trubisky\TrubMi00,QB,24.020,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,7,32,4.57,1
47,Spencer Ware\WareSp00,RB,26.290,2018-09-09,NFL,KAN,@,LAC,W 38-28,1,1,Sun,3,32,10.67,0
48,Marcus Murphy\MurpMa03,RB,27.183,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,6,31,5.17,0
49,Alvin Kamara\KamaAl00,RB,23.046,2018-09-09,NFL,NOR,,TAM,L 40-48,1,1,Sun,8,29,3.63,2
50,Josh Allen\AlleJo02,QB,22.111,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,4,26,6.50,0
51,Corey Clement\ClemCo00,RB,23.308,2018-09-06,NFL,PHI,,ATL,W 18-12,1,1,Thu,5,26,5.20,0
52,Kirk Cousins\CousKi00,QB,30.021,2018-09-09,NFL,MIN,,SFO,W 24-16,1,1,Sun,4,26,6.50,0
53,Derrick Henry\HenrDe00,RB,24.248,2018-09-09,NFL,TEN,@,MIA,L 20-27,1,1,Sun,10,26,2.60,0
54,Tarik Cohen\CoheTa00,RB,23.045,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,5,25,5.00,0
55,Jeremy Hill\HillJe01,RB,25.324,2018-09-09,NFL,NWE,,HOU,W 27-20,1,1,Sun,4,25,6.25,0
56,Chase Edmonds\EdmoCh00,RB,22.149,2018-09-09,NFL,ARI,,WAS,L 6-24,1,1,Sun,4,24,6.00,0
57,Jalen Richard\RichJa01,RB,24.330,2018-09-10,NFL,OAK,,LAR,L 13-33,1,1,Mon,5,24,4.80,0
58,LeSean McCoy\McCoLe01,RB,30.059,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,7,22,3.14,0
59,Nick Chubb\ChubNi00,RB,22.256,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,3,21,7.00,0
60,Patrick Mahomes\MahoPa00,QB,22.357,2018-09-09,NFL,KAN,@,LAC,W 38-28,1,1,Sun,5,21,4.20,0
61,Doug Martin\MartDo00,RB,29.240,2018-09-10,NFL,OAK,,LAR,L 13-33,1,1,Mon,4,20,5.00,0
62,Theo Riddick\RiddTh00,RB,27.129,2018-09-10,NFL,DET,,NYJ,L 17-48,1,1,Mon,4,20,5.00,0
63,Travis Benjamin\BenjTr00,WR,28.254,2018-09-09,NFL,LAC,,KAN,L 28-38,1,1,Sun,1,19,19.00,0
64,Tevin Coleman\ColeTe01,RB,25.143,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,9,19,2.11,1
65,Nyheim Hines\HineNy00,RB,21.301,2018-09-09,NFL,IND,,CIN,L 23-34,1,1,Sun,5,19,3.80,0
66,Dak Prescott\PresDa01,QB,25.042,2018-09-09,NFL,DAL,@,CAR,L 8-16,1,1,Sun,5,19,3.80,0
67,James White\WhitJa02,RB,26.218,2018-09-09,NFL,NWE,,HOU,W 27-20,1,1,Sun,5,18,3.60,0
68,Javorius Allen\AlleJa01,RB,27.013,2018-09-09,NFL,BAL,,BUF,W 47-3,1,1,Sun,4,17,4.25,1
69,Duke Johnson\JohnDu00,RB,24.351,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,5,17,3.40,0
70,Kerryon Johnson\JohnKe06,RB,21.072,2018-09-10,NFL,DET,,NYJ,L 17-48,1,1,Mon,5,17,3.40,0
71,Nelson Agholor\AghoNe00,WR,25.105,2018-09-06,NFL,PHI,,ATL,W 18-12,1,1,Thu,1,16,16.00,0
72,Cooper Kupp\KuppCo00,WR,25.087,2018-09-10,NFL,LAR,@,OAK,W 33-13,1,1,Mon,2,16,8.00,0
